census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010730007,7831,3703,0,100,0,0,97,NA,NA,NA,NA,NA,NA,45,47,11,80,18,2,0,20,NA,NA,3,2,40,NA,NA,NA,NA,3149220
010730008,6288,2172,43,57,0,0,86,NA,NA,NA,NA,NA,NA,20,25,5,73,24,1,1,27,NA,NA,3,7,56,NA,NA,NA,NA,3698515
010730009,5655,2289,1,99,0,0,85,NA,NA,NA,NA,NA,NA,44,46,9,81,18,1,0,34,NA,NA,4,5,17,NA,NA,NA,NA,2069595
010730010,3427,1311,24,75,0,0,88,NA,NA,NA,NA,NA,NA,23,27,3,71,27,1,1,21,NA,NA,4,6,46,NA,NA,NA,NA,4827267
010730011,5786,2090,39,61,0,0,100,NA,NA,NA,NA,NA,NA,22,24,7,65,29,3,2,22,NA,NA,3,10,75,NA,NA,NA,NA,7259289
010730012,8352,2833,32,68,0,0,91,NA,NA,NA,NA,NA,NA,27,32,4,66,30,3,1,12,NA,NA,3,4,65,NA,NA,NA,NA,7728967
010730013,2295,696,0,100,0,0,68,NA,NA,NA,NA,NA,NA,25,29,5,51,33,10,7,10,NA,NA,4,6,68,NA,NA,NA,NA,1229884
010730014,3820,1343,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,27,31,3,65,31,3,1,20,NA,NA,5,2,68,NA,NA,NA,NA,1261571
010730015,7967,2979,6,94,0,0,81,NA,NA,NA,NA,NA,NA,25,26,5,64,32,4,1,17,NA,NA,3,7,41,NA,NA,NA,NA,2162670
010730016,6958,1957,78,22,0,0,48,NA,NA,NA,NA,NA,NA,17,19,3,56,38,5,1,20,NA,NA,3,9,44,NA,NA,NA,NA,2799304
010730017,1128,392,57,43,0,0,0,NA,NA,NA,NA,NA,NA,25,38,7,83,16,1,0,38,NA,NA,1,8,45,NA,NA,NA,NA,1531424
010730018,4096,1221,49,51,0,0,100,NA,NA,NA,NA,NA,NA,22,24,4,65,30,2,3,27,NA,NA,2,7,39,NA,NA,NA,NA,2364853
010730019,2866,907,64,36,0,0,NA,NA,NA,NA,NA,NA,NA,9,10,2,59,37,3,0,17,NA,NA,3,5,71,NA,NA,NA,NA,1375168
010730020,4161,973,97,3,0,0,89,NA,NA,NA,NA,NA,NA,4,4,2,42,50,5,3,10,NA,NA,2,4,55,NA,NA,NA,NA,1672017
010730021,4382,1153,100,0,0,0,87,NA,NA,NA,NA,NA,NA,6,4,1,46,46,6,3,21,NA,NA,1,3,81,NA,NA,NA,NA,2277626
